movie_id,title,genres,release_year,rating,popularity
674,Harry Potter and the Goblet of Fire,"[12, 14]",2005,7.8,160.414
420818,The Lion King,"[16, 12, 18, 10751]",2019,7.1,160.143
882598,Smile,"[27, 9648]",2022,6.665,159.676
646385,Scream,"[27, 9648, 53]",2022,6.7,158.77
269509,The Canterville Ghost,"[16, 35, 10751, 14]",2023,6.3,158.137
974950,Emilia Pérez,"[18, 53]",2024,7.863,156.99
866398,The Beekeeper,"[80, 28, 53]",2024,7.347,156.576
831815,Saving Bikini Bottom: The Sandy Cheeks Movie,"[16, 35, 12, 10751]",2024,6.302,156.46
507241,The Killer's Game,"[28, 35, 80]",2024,6.8,156.121
420634,Terrifier,"[27, 53]",2018,6.4,155.942
1337309,Bangkok Breaking: Heaven and Hell,"[28, 80, 18, 53]",2024,6.6,155.405
1226578,Longlegs,"[27, 53, 80]",2024,6.6,153.895
1214484,Let Go,[18],2024,7.942,153.688
877817,Wolfs,"[35, 28, 80]",2024,6.6,152.705
926393,The Equalizer 3,"[28, 53, 80]",2023,7.33,152.526
72808,The Flesh,"[18, 10749]",1991,5.3,152.409
166428,How to Train Your Dragon: The Hidden World,"[16, 10751, 12]",2019,7.8,151.363
877817,Wolfs,"[35, 28, 80]",2024,6.6,152.705
197158,Porno,"[18, 27, 14, 35]",1981,4.882,210.851
926393,The Equalizer 3,"[28, 53, 80]",2023,7.3,152.526
72808,The Flesh,"[18, 10749]",1991,5.3,152.409
177572,Big Hero 6,"[12, 10751, 16, 28, 35]",2014,7.732,130.121
76600,Avatar: The Way of Water,"[878, 12, 28]",2022,7.62,151.245
1243381,Mary,"[18, 36, 28]",2024,6.4,150.294
12444,Harry Potter and the Deathly Hallows: Part 1,"[12, 14]",2010,7.7,149.827
150540,Inside Out,"[16, 10751, 12, 18, 35]",2015,7.9,126.962
1255208,Bag of Lies,"[27, 53]",2024,6.1,149.567
597,Titanic,"[18, 10749]",1997,7.9,149.407
122,The Lord of the Rings: The Return of the King,"[12, 14, 28]",2003,8.5,148.848
10191,How to Train Your Dragon,"[14, 12, 16, 10751]",2010,7.8,147.251
796,Cruel Intentions,"[18, 10749]",1999,6.802,146.765
1232449,Young Hearts,"[18, 10751]",2024,9.0,146.451
323260,The Gigolo,"[10749, 18, 35]",2015,5.1,146.362
1005331,Carry-On,"[28, 53, 9648]",2024,0.0,145.412
458156,John Wick: Chapter 3 - Parabellum,"[28, 53, 80]",2019,7.447,145.254
345887,The Equalizer 2,"[28, 53, 80]",2018,6.8,122.292
792307,Poor Things,"[878, 10749, 35]",2023,7.728,145.128
1241748,Kalikot,[18],2024,6.5,143.569
1100642,'Twas the Text Before Christmas,"[10749, 35, 10770]",2023,6.6,143.434
820530,Dakaichi: I'm Being Harassed by the Sexiest Man of the Year—The Movie: In Spain,"[16, 18, 35, 10749]",2021,7.5,121.479
12445,Harry Potter and the Deathly Hallows: Part 2,"[14, 12]",2011,8.1,143.398
12,Finding Nemo,"[16, 10751]",2003,7.82,143.113
1373893,Joni pata de conejo,[28],2024,6.5,111.43
1321476,Zuzubalândia - O Filme,[16],2024,6.0,122.202
1022796,Wish,"[16, 10751, 14, 12]",2023,6.3,128.22
561,Constantine,"[14, 28, 27]",2005,7.093,142.468
2062,Ratatouille,"[16, 35, 10751, 14]",2007,7.8,142.431
155,The Dark Knight,"[18, 28, 80, 53]",2008,8.5,142.229
652,Troy,"[12, 36, 10752]",2004,7.2,141.83
22705,Cheeky,"[35, 18, 10749]",2000,5.7,141.787
829560,The Next 365 Days,"[10749, 18]",2022,6.4,136.623
1153291,Private call,"[53, 28]",2023,7.0,109.325
1233327,Matka,"[28, 80]",2024,5.8,83.892
549053,Last Christmas,"[35, 10749]",2019,7.24,139.793
12153,White Chicks,"[35, 80]",2004,7.0,139.236
284054,Black Panther,"[28, 12, 878]",2018,7.382,138.884
72808,The Flesh,"[18, 10749]",1991,5.3,152.409
630586,Wrong Turn,"[27, 53]",2021,5.981,138.093
22,Pirates of the Caribbean: The Curse of the Black Pearl,"[12, 14, 28]",2003,7.806,137.932
10625,Mean Girls,"[18, 35]",2004,7.211,137.631
559,Spider-Man 3,"[28, 12, 878]",2007,6.433,137.371
8587,The Lion King,"[10751, 16, 18]",1994,8.256,137.265
9479,The Nightmare Before Christmas,"[14, 16, 10751]",1993,7.841,137.2
1140648,Double Blind,"[878, 27, 53]",2024,5.853,136.841
829560,The Next 365 Days,"[10749, 18]",2022,6.4,136.623
335984,Blade Runner 2049,"[878, 18]",2017,7.6,136.453
588228,The Tomorrow War,"[28, 878, 12]",2021,7.531,136.382
1094274,Y2K,"[35, 27, 878]",2024,5.3,136.374
345940,The Meg,"[28, 878, 27]",2018,6.3,136.28
675,Harry Potter and the Order of the Phoenix,"[12, 14]",2007,7.7,134.996
109445,Frozen,"[16, 10751, 12, 14]",2013,7.245,134.957
62961,Metal Skin Panic MADOX-01,"[878, 28, 35, 16]",1987,5.4,134.914
13,Forrest Gump,"[35, 18, 10749]",1994,8.5,134.767
82702,How to Train Your Dragon 2,"[14, 28, 12, 16, 35, 10751]",2014,7.7,134.223
1086747,The Watchers,"[27, 9648, 53]",2024,6.5,134.063
198184,Chappie,"[80, 28, 878]",2015,6.789,134.058
1358820,A Nonsense Christmas with Sabrina Carpenter,[10402],2024,7.647,133.686
28468,The Key,"[18, 10749]",1983,5.975,133.633
564,The Mummy,"[12, 28, 14]",1999,6.936,132.206
632856,Spirited,[35],2022,6.958,131.995
426889,Le clitoris,"[16, 99]",2016,6.1,130.841
646683,The Exorcism,"[27, 53]",2024,5.061,130.589
474350,It Chapter Two,"[27, 18, 14]",2019,6.843,130.242
1075794,Leo,"[16, 35, 10751]",2023,7.477,130.143
177572,Big Hero 6,"[12, 10751, 16, 28, 35]",2014,7.732,130.121
1059128,Queer,"[18, 10749]",2024,4.8,129.478
10830,Matilda,"[35, 10751, 14]",1996,7.2,129.406
122917,The Hobbit: The Battle of the Five Armies,"[28, 12, 14]",2014,7.323,129.333
1111873,Abigail,"[27, 53]",2024,6.799,129.276
767,Harry Potter and the Half-Blood Prince,"[12, 14]",2009,7.7,128.516
1087388,Sting,"[27, 878, 53]",2024,6.2,128.281
1022796,Wish,"[16, 10751, 14, 12]",2023,6.3,128.22
872585,Oppenheimer,"[18, 36]",2023,8.081,128.184
680,Pulp Fiction,"[53, 80]",1994,8.5,128.141
79443,The Smurfs: A Christmas Carol,"[16, 35, 10751]",2011,6.7,127.768
707610,Bosomy Mom,"[18, 10749]",2020,5.9,127.599
1104171,Meet Me Next Christmas,"[10749, 35]",2024,6.3,127.195
414906,The Batman,"[80, 9648, 53]",2022,7.7,127.081
150540,Inside Out,"[16, 10751, 12, 18, 35]",2015,7.9,126.962
640146,Ant-Man and the Wasp: Quantumania,"[28, 12, 878]",2023,6.3,126.874
565770,Blue Beetle,"[28, 878, 12]",2023,6.7,125.856
50270,Paprika,"[18, 10749]",1991,6.974,125.742
634528,The Marksman,"[28, 18, 53]",2021,6.839,125.685
1191611,Camp Crasher,"[35, 10749]",2024,7.2,125.572
575264,Mission: Impossible - Dead Reckoning Part One,"[28, 12]",2023,7.547,125.509
508883,The Boy and the Heron,"[16, 12, 14, 10751, 18]",2023,7.471,125.255
370172,No Time to Die,"[28, 53, 12]",2021,7.373,124.971
27578,The Expendables,"[53, 12, 28]",2010,6.2,124.288
299534,Avengers: Endgame,"[12, 878, 28]",2019,8.2,124.211
232672,Blended,"[35, 10749]",2014,6.879,124.056
1249532,Rippy,"[27, 9648]",2024,4.8,123.676
1062215,Afraid,"[27, 878, 53]",2024,6.154,123.5
447365,Guardians of the Galaxy Vol. 3,"[878, 12, 28]",2023,7.965,123.45
62835,Colombiana,"[28, 53, 80, 18]",2011,6.623,123.074
36647,Blade,"[27, 28]",1998,6.805,122.479
337167,Fifty Shades Freed,"[18, 10749]",2018,6.7,122.427
121,The Lord of the Rings: The Two Towers,"[12, 14, 28]",2002,8.4,122.348
345887,The Equalizer 2,"[28, 53, 80]",2018,6.76,122.292
1321476,Zuzubalândia - O Filme,[16],2024,6.0,122.202
27205,Inception,"[28, 878, 12]",2010,8.4,122.2
10719,Elf,"[35, 10751, 14]",2003,6.7,121.934
862,Toy Story,"[16, 12, 10751, 35]",1995,7.971,121.862
197,Braveheart,"[28, 18, 36, 10752]",1995,7.9,121.775
949484,Hounds of War,"[28, 53]",2024,6.5,121.759
1241752,Rita,[18],2024,6.7,121.682
820530,Dakaichi: I'm Being Harassed by the Sexiest Man of the Year—The Movie: In Spain,"[16, 18, 35, 10749]",2021,7.5,121.479
363676,Sully,"[18, 36]",2016,7.193,121.265
36557,Casino Royale,"[12, 28, 53]",2006,7.559,121.022
807339,Apartment 7A,"[27, 53]",2024,6.109,120.723
476669,The King's Man,"[28, 12, 53]",2021,6.751,120.215
585,"Monsters, Inc.","[16, 35, 10751]",2001,7.8,120.105
106646,The Wolf of Wall Street,"[80, 18, 35]",2013,8.0,119.995
550205,Wish Dragon,"[16, 10751, 35, 14]",2021,7.883,119.981
24428,The Avengers,"[878, 28, 12]",2012,7.723,119.893
91314,Transformers: Age of Extinction,"[878, 28, 12]",2014,5.939,119.791
8681,Taken,"[28, 53]",2008,7.4,119.42
609681,The Marvels,"[878, 12, 28]",2023,6.061,119.215
108450,The Smile of the Fox,"[53, 18, 10749]",1992,5.6,119.021
58,Pirates of the Caribbean: Dead Man's Chest,"[12, 14, 28]",2006,7.4,118.497
843527,The Idea of You,"[10749, 18, 35]",2024,7.4,118.384
372058,Your Name.,"[16, 10749, 18]",2016,8.485,118.19
801335,Girl in the Basement,"[53, 80, 10770]",2021,7.664,118.061
989730,Mononoke the Movie: The Phantom in the Rain,"[16, 14, 9648, 27]",2024,7.5,117.854
1160018,Kill,"[28, 80, 53, 18]",2024,7.2,116.668
1205317,Boyfriends,[],2024,0.0,116.367
1025596,Blood for Dust,"[28, 80, 53]",2024,5.7,116.185
1011516,The Present,"[35, 14, 10751]",2024,6.0,116.002
1290034,Defying Gravity: The Curtain Rises on Wicked,[99],2024,8.7,115.769
298618,The Flash,"[12, 28, 878]",2023,6.692,115.364
364,Batman Returns,"[28, 14]",1992,6.929,115.22
80278,The Impossible,"[18, 53, 36]",2012,7.363,115.081
1290287,Hot Frosty,"[10749, 35]",2024,6.037,114.572
929563,Big City Greens the Movie: Spacecation,"[16, 10751, 35, 10402, 10770]",2024,7.5,114.406
359724,Ford v Ferrari,"[18, 28, 36]",2019,8.007,114.281
1096197,No Way Up,"[53, 27, 28]",2024,6.37,114.272
698508,Redeeming Love,"[10749, 18, 37]",2022,7.862,113.652
57158,The Hobbit: The Desolation of Smaug,"[14, 12, 28]",2013,7.574,113.541
364689,Ferdinand,"[16, 10751, 12, 35]",2017,7.21,113.396
630,The Wizard of Oz,"[12, 14, 10751]",1939,7.586,113.38
646,Dr. No,"[12, 28, 53]",1962,7.0,113.24
936245,Hidden Face,"[9648, 53]",2024,6.2,113.206
1865,Pirates of the Caribbean: On Stranger Tides,"[12, 28, 14]",2011,6.554,113.051
896151,Blitz,"[10752, 18, 36]",2024,5.6,112.985
72784,The Loft,[53],2014,6.405,112.767
80321,Madagascar 3: Europe's Most Wanted,"[16, 10751, 35, 12]",2012,6.6,112.643
1280655,VIRGO,"[12, 10402]",2021,6.4,112.61
37165,The Truman Show,"[35, 18]",1998,8.1,112.382
959092,Mayhem!,"[28, 80, 18]",2023,6.7,112.292
280180,Beverly Hills Cop: Axel F,"[28, 35, 80]",2024,6.758,112.138
1122504,Exorcism in Utero,[27],2023,5.9,112.103
991610,Invasion,"[28, 18, 53]",2024,5.0,111.972
1212073,Sixty Minutes,[28],2024,6.8,111.828
587727,Busty Girlfriend,[10749],2019,7.5,111.818
458220,Palmer,[18],2021,8.1,111.5
1391409,Biggest Heist Ever,"[99, 80]",2024,6.7,111.454
1373893,Joni pata de conejo,[28],2024,6.5,111.43
572802,Aquaman and the Lost Kingdom,"[28, 12, 14]",2023,6.7,111.379
10867,Malena,[18],2000,7.421,111.268
1393614,Suspicion,[80],2024,5.333,111.138
460458,Resident Evil: Welcome to Raccoon City,"[27, 878, 28]",2021,6.0,111.028
807,Se7en,"[80, 9648, 53]",1995,8.4,111.027
976573,Elemental,"[16, 35, 10751, 14, 10749]",2023,7.6,110.76
931944,The Devil's Bath,"[27, 9648, 36]",2024,6.7,110.634
34851,Predators,"[878, 28, 53]",2010,6.271,110.627
447277,The Little Mermaid,"[12, 10751, 14, 10749]",2023,6.345,110.603
496243,Parasite,"[35, 53, 18]",2019,8.5,110.555
118,Charlie and the Chocolate Factory,"[12, 35, 10751, 14]",2005,7.05,110.512
1064375,Paradox Effect,"[28, 53]",2024,5.593,110.51
5825,National Lampoon's Christmas Vacation,[35],1989,7.2,110.464
17979,A Christmas Carol,"[16, 10751, 14]",2009,6.881,110.309
1209770,Bedspacer,"[53, 18]",2024,4.444,110.221
1949,Zodiac,"[80, 18, 9648, 53]",2007,7.5,109.861
638507,How to Train Your Dragon: Homecoming,"[16, 14, 12, 28, 10751]",2019,8.1,109.737
10674,Mulan,"[16, 10751, 12]",1998,7.908,109.643
976576,Emmanuelle,"[18, 10749]",2024,5.3,109.496
916192,"The Tunnel to Summer, the Exit of Goodbyes","[16, 18, 10749, 14]",2022,7.733,109.405
1153291,Private call,"[53, 28]",2023,7.0,109.325
1153291,Private call,"[53, 28]",2023,7.0,109.325
746036,The Fall Guy,"[28, 35, 10749]",2024,7.109,109.118
196867,Annie,"[35, 18, 10751]",2014,6.2,108.872
